gen proies predateurs 
0 50 20
1 57 27
2 65 35
3 79 43
4 91 52
5 106 66
6 118 89
7 134 119
8 154 140
9 155 163
10 161 175
11 166 159
12 174 151
13 193 145
14 175 155
15 189 180
16 181 197
17 172 198
18 163 206
19 157 207
20 174 211
21 175 226
22 182 231
23 194 248
24 182 258
25 202 220
26 216 213
27 215 217
28 196 212
29 193 193
30 196 211
31 201 227
32 208 241
33 214 295
34 207 304
35 197 350
36 153 369
37 146 373
38 121 407
39 110 391
40 104 408
41 83 364
42 86 335
43 81 311
44 86 302
45 88 292
46 79 294
47 79 265
48 77 238
49 77 217
50 66 218
51 76 232
52 76 227
53 83 217
54 80 224
55 78 217
56 81 199
57 86 203
58 94 207
59 101 219
60 106 217
61 113 215
62 110 207
63 121 222
64 134 214
65 154 225
66 168 223
67 207 195
68 240 202
69 258 211
70 273 201
71 289 197
72 308 222
73 310 260
74 321 282
75 315 323
76 284 370
77 277 408
78 259 506
79 218 555
80 185 603
81 149 636
82 103 664
83 85 709
84 72 717
85 61 690
86 61 660
87 58 629
88 58 554
89 51 509
90 50 479
91 43 469
92 32 453
93 21 407
94 14 394
95 15 373
96 11 345
97 9 330
98 6 296
99 8 263
100 8 253
101 11 243
102 15 227
103 17 202
104 15 186
105 19 157
106 25 149
107 29 122
108 33 103
109 44 91
110 51 73
111 55 73
112 65 54
113 76 45
114 87 51
115 105 51
116 117 59
117 140 66
118 163 73
119 196 70
120 229 80
121 280 86
122 325 95
123 388 94
124 451 111
125 507 127
126 561 144
127 623 178
128 705 213
129 763 247
130 772 297
131 793 373
132 782 437
133 787 492
134 755 554
135 731 636
136 666 701
137 554 761
138 448 829
139 359 893
140 251 978
141 187 1070
142 127 1147
143 67 1137
144 38 1158
145 22 1117
146 15 1079
147 5 1039
148 4 904
149 2 790
150 2 671
151 3 592
152 3 546
153 4 467
154 2 386
155 1 278
156 2 206
157 2 168
158 2 111
159 2 89
160 3 65
161 4 41
162 5 34
163 6 31
164 7 18
165 8 11
166 10 5
167 11 3
168 14 4
169 20 7
170 24 9
171 30 3
172 38 4
173 42 5
174 56 5
175 69 6
176 87 7
177 111 8
178 131 11
179 149 16
180 169 19
181 196 19
182 206 20
183 232 25
184 256 35
185 277 47
186 321 53
187 360 58
188 401 65
189 431 74
190 464 87
191 474 111
192 496 132
193 520 151
194 526 190
195 545 215
196 557 262
197 560 314
198 595 378
199 636 442
200 667 533
201 694 631
202 726 732
203 763 766
204 784 800
205 789 889
206 783 916
207 806 913
208 794 884
209 766 919
210 683 956
211 544 989
212 393 971
213 255 1051
214 141 1062
215 84 1130
216 38 1227
217 23 1230
218 13 1247
219 13 1260
220 14 1194
221 16 1139
222 16 1061
223 12 939
224 13 786
225 18 623
226 14 518
227 16 439
228 17 400
229 19 344
230 22 247
231 24 196
232 25 179
233 28 148
234 31 108
235 38 90
236 40 82
237 45 76
238 59 62
239 68 57
240 74 57
241 81 69
242 99 85
243 115 103
244 135 120
245 150 133
246 170 156
247 204 178
248 233 217
249 253 268
250 264 280
251 278 307
252 282 357
253 297 408
254 314 463
255 327 528
256 313 640
257 291 737
258 266 842
259 230 965
260 196 1089
261 160 1226
262 112 1270
263 66 1370
264 42 1411
265 21 1456
266 10 1472
267 4 1396
268 1 1371
269 1 1292
270 1 1164
271 2 1026
272 2 909
273 2 809
274 1 755
275 1 632
276 1 522
277 1 367
278 1 272
279 2 169
280 2 145
281 2 125
282 2 87
283 1 57
284 2 50
285 2 31
286 3 21
287 3 16
288 3 11
289 4 13
290 5 11
291 6 12
292 6 11
293 7 11
294 8 11
295 12 13
296 15 11
297 19 13
298 25 16
299 29 22
300 30 14
301 35 13
302 43 18
303 53 23
304 66 29
305 78 33
306 91 34
307 108 35
308 127 39
309 150 48
310 167 64
311 207 77
312 238 86
313 277 86
314 326 105
315 360 132
316 424 153
317 488 195
318 542 238
319 576 298
320 593 372
321 597 467
322 595 544
323 561 656
324 525 738
325 465 838
326 422 995
327 380 1133
328 360 1293
329 279 1392
330 218 1562
331 149 1751
332 79 1807
333 45 1925
334 15 2040
335 3 2116
